Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Aaron Ramsdale,,,,,,,,,,
Aaron Ramsey,,,,,,73,107,75,49,
Aaron Wan-Bissaka,,,160,,,,,,,
Abderrazak Hamdallah,,167,,,,,,,,
Achraf Bencharki,,,,,,,,,,
Achraf Hakimi,38,76,90,,,,,,,
Adama Traoré,,114,,,,,,,,
Adrien Rabiot,,,,,99,,,,,
Adrien Silva,,,,,,91,,,,
Akram Afif,,,180,,,,,,,
Alassane Pléa,,166,,,,,,,,
Alejandro ‘Papu’ Gomez,,32,148,,,,,,,
Aleksandar Kolarov,,,,,,,,,,
Aleksandar Mitrovic,,,,,,,,,,
Aleksandr Golovin,,,,,,,,,,
Aleksey Miranchuk,,,,,,,,,,
Alessandro Bastoni,,,,,,,,,,
Alex Oxlade-Chamberlain,,,,,,,,,,
Alex Sandro,,,161=,144,90,,,,,
Alex Teixeira,,,,,,,89,,,
Alex Telles,,,,,,,,,,
Alexander Callens,,,,,,,,,,
Alexander Isak,101,,,,,,,,,
Alexander Sørloth,,201,,,,,,,,
Alexandre Lacazette,,,99,150,102,94,61,,,
Alexis Sánchez,,,,130,32,9,10,22,95,
Aliou Dieng,,,,,,,,,,
Alisson,67,26,9,43,,,,,,
Allan,,,,101,,,,,,
Almoez Ali,,,172,,,,,,,
Alphonso Davies,42,23,,,,,,,,
Alvaro Gonzalez,,,,,,,,,,
Álvaro Morata,,95,,,47,71,47,,,
Alvaro Negredo,,,,,,,,,73,
Anastasios Bakasetas,,,,,,,,,,
André Onana,,163,179,,,,,,,
André Silva,154,,,,,,,,,
Andrea Pirlo,,,,,,,42,29,21,8
Andreas Christensen,,,,,,,,,,
André-Frank Zambo Anguissa,,,,,,,,,,
Andrej Kramarić,,171,,,,,,,,
André-Pierre Gignac,,210,,,,,,,,
Andrés Iniesta,,186,,,29,15,12,28,5,4
Andrew Robertson,103,34,23,114,,,,,,
Andriy Yarmolenko,,,,,,,98,,,
Ángel Correa,,156,,,,,,,,
Angel Di María,32,38,39,124,100,43,39,14,72,47
Angeliño,,112,,,,,,,,
Ansu Fati,122,45,,,,,,,,
Ante Rebić,,,,85,,,,,,
Anthony Lopes,,202,,,,,,,,
Anthony Martial,,127,,,,,66,,,
Anthony Modeste,,,,,,,,,,
Antoine Griezmann,76,90,25,6,18,4,28,74,,
Anton Miranchuk,,211,,,,,,,,
Antonio Rüdiger,48,,,,,,,,,
Antony,140,,,,,,,,,
Arda Turan,,,,,,,78,38,70,
Aritz Aduriz,,,,,,67,,,,
Arjen Robben,,,,,79,89,22,4,14,66
Arsen Zakharyan,,,,,,,,,,
Artem Dzyuba,,179,,,,,,,,
Arthur,,,77,110,,,,,,
Arturo Vidal,,176,168=,,66,32,15,33,26,57
Ashley Cole,,,,,,,,,,30
Asmir Begovic,,,,,,,,,96,
Aurélien Tchouaméni,,,,,,,,,,
Axel Witsel,,,110,96,,,,,52,
Aymeric Laporte,153,131,54,,,,,,,
Bafetimbi Gomis,,,,,,,,,,
Baghdad Bounedjah,,,,,,,,,,
Bastian Schweinsteiger,,,,,,,74,25,20,19
Ben Brereton Díaz,,,,,,,,,,
Ben Chilwell,138,,,,,,,,,
Ben Godfrey,,,,,,,,,,
Benjamin André,,,,,,,,,,
Benjamin Mendy,,,,,97,,,,,
Benjamin Pavard,,,,71,,,,,,
Bernardo Silva,45,70,16,68,84,149,167,,,
Blaise Matuidi,,,108,53,,84,53,62,93,
Brahim Díaz,,,,,,,,,,
Branislav Ivanovic,,,,,,,,53,98,
Breel Embolo,,,,,,,,,,
Brendan Gan,,,,,,,,,,
Bruno Fernandes,16,21,69,,,,,,,
Bruno Guimarães,,217,,,,,,,,
Bruno Henrique,157,110,66,,,,,,,
Bruno Petkovic,,,,,,,,,,
Bukayo Saka,95,187,,,,,,,,
Burak Yilmaz,85,,,,,,,,,
Çaglar Söyüncü,,,,,,,,,,
Carles Puyol,,,,,,,,,,46
Carlos Bacca,,,,,,,65,,,
Carlos Sanchez,,,,,,,93,,,
Carlos Soler,,,,,,,,,,
Carlos Tevez,,198,,,,,17,41,46,48
Carlos Vela,,218,107,,,,212=,,,
Casemiro,68,56,61,42,28,53,,,,
César Azpilicueta,50,,155,132,52,146=,90,90,,
Cesc Fàbregas,,,,,93,,63,36,29,36
Chris Smalling,,195,,,,,,,,
Christian Eriksen,,219,41,36,25,140,146=,,101,74
Christian Pulisic,161,128,143,106,77,138,,,,
Christopher Nkunku,127,212,,,,,,,,
Ciro Immobile,66,24,63,73,71,,,,,
Claudio Bravo,,,,,,81,84,,,
Clément Lenglet,,,133,,,,,,,
Conor Coady,,,,,,,,,,
Cristian Arango,,,,,,,,,,
Cristian Romero,121,,,,,,,,,
Cristiano Ronaldo,8,3,4,2,2,1,2,1,2,2
Daley Blind,,,139,,,,,,,
Daley Blind,,,,,,,,89,,
Damián Martínez,,,,,,,,,,
Dani Alves,,,57,135,26,78,58,81,41,43
Dani Carvajal,,,,108,86,,,,,
Dani Ceballos,,,,,,,,,,
Dani Olmo,90,,,,,,,,,
Dani Parejo,,,117,,,,,,,
Daniel Sturridge,,,,,,,,51,,
Daniele De Rossi,,,,,,,,97,38,42
Danilo Pereira,,,,,,,,,,
Danny Ings,,139,,,,,,,,
Dante,,,,,,,,,53,
Darijo Srna,,,,,,,,,,84
Darío Benedetto,,,,,,,,,,
Dario Conca,,,,,,,,,78,
Darwin Nuñez,,173,,,,,,,,
David Alaba,55,31,128,136,94,61,23,44,43,
David De Gea,,105,93,39,23,29,18,55,,
David Luiz,,,,,83,171=,122=,95,50,79
David Neres,,,105,,,,,,,
David Silva,,146,46,20,38,44,30,35,32,18
David Villa,,,,,,,,,,62
David Villa,,,,,,,,,,
Dayot Upamecano,164,52,156=,,,,,,,
Declan Rice,59,,,,,,,,,
Dejan Kulusevski,,106,,,,,,,,
Dele Alli,,,89,45,31,90,,,,
Denis Cheryshev,,,,87,,,,,,
Denzel Dumfries,,,,,,,,,,
Deyverson,,,,,,,,,,
Didier Drogba,,,,,,,,,,49
Diego Carlos,,136,,,,,,,,
Diego Costa,,213,,88,68,46,51,12,35,
Diego Forlan,,,,,,,,,,99
Diego Godín,,,85,34,63,24,40,34,,
Diego Rossi,,193,,,,,,,,
Dimitri Payet,,,,,,27,,,,
Diogo Jota,88,63,,,,,,,,
Divock Origi,,,156=,,,,,,,
Djené Dakonam,,,,,,,,,,
Domenico Berardi,,203,,,,,,,,
Dominic Calvert-Lewin,,80,,,,,,,,
Dominik Szoboszlai,,96,,,,,,,,
Donny van de Beek,,174,33,,,,,,,
Douglas Costa,,,173,102,,63,32,,,
Dries Mertens,,84,78,46,27,,,,,
Dudu,,,,147,,,,,,
Dusan Tadic,89,144,27,,,,,,,
Dusan Vlahovic,57,,,,,,,,,
